Intent,Utterance
email_send,Send an email to John about the budget meeting minutes.
email_send,Draft an email to Sarah asking for an update on the project.
email_send,Please email my manager that I'll be late tomorrow.
email_send,Can you send a quick email to Alex with the new contact list?
email_send,I need to email the sales team regarding the Q3 performance review.
email_send,Shoot an email to HR about my vacation request.
email_send,Email the finance department the expense report.
email_send,Send a message to Dr. Smith about the lab results.
email_send,I want to email everyone the holiday party details.
email_send,Please compose an email to my professor about the assignment extension.
email_send,Forward yesterday's meeting summary to marketing.
email_send,Email David and Maria the link to the video conference.
email_send,Write an email to IT support saying my computer is down.
email_send,Send an email to Mr. Jones to confirm the Tuesday appointment.
email_send,Email Linda the revised proposal right away.
email_send,I need to send a reminder email to all participants for the training session.
email_send,Email Mom and tell her I landed safely.
email_send,Send a thank you email to the client for the dinner last night.
email_send,Draft an email to the hiring manager about the job offer.
email_send,Email Customer Service about my recent order issue.
email_send,Send an email to Tom with the attached document.
email_send,Please email the design team the new brand guidelines.
email_send,Forward this document to my personal email address.
email_send,I need to email the vendor about a late shipment.
email_send,Send an email to Mr. Chen apologizing for the delay.
email_send,Email the team a status report.
email_send,Write an email to Susan asking her to call me back.
email_send,Send an email to Paul with the key takeaways from the workshop.
email_send,Draft an email to my accountant regarding tax documents.
email_send,Email the project lead that the milestone is complete.
email_send,Send an email to my insurance agent about a claim update.
email_send,I want to email my cousin the photos from the trip.
email_send,Email Dr. Evans the completed forms.
email_send,Please send an email to the whole department about the server maintenance.
email_send,Forward the client feedback to development.
email_send,Email my assistant the travel itinerary.
email_send,Send an email to Mrs. Peterson about the field trip permission slip.
email_send,Draft an email to the CEO with the annual report summary.
email_send,Email Gary and Ben the updated schedule.
email_send,Write an email to the landlord about the leaky faucet.
email_send,Send an email to my classmates about the group project details.
email_send,Email the supplier about the invoice discrepancy.
email_send,Forward the press release to all media contacts.
email_send,I need to email Uncle Bob the recipe I promised.
email_send,Send an email to the recruitment agency about the candidate shortlist.
email_send,Email my doctor to change my appointment time.
email_send,Draft an email to the entire company about the new dress code.
email_send,Send a message to Maria to check her availability for a call.
email_send,Email the operations team the new process flow.
email_send,Write an email to my neighbor about their dog barking.
